index,items
278,"['pastry', 'pasta']"
279,"['white bread', 'brown bread']"
280,"['canned beer', 'rolls/buns', 'artif. sweetener', 'soda']"
281,"['rolls/buns', 'root vegetables']"
282,"['chicken', 'soda']"
283,"['frankfurter', 'curd', 'white bread', 'rolls/buns', 'coffee']"
284,"['red/blush wine', 'bottled water', 'sweet spreads']"
285,"['rolls/buns', 'onions', 'napkins']"
286,"['canned beer', 'soda']"
287,"['root vegetables', 'frozen vegetables', 'pet care']"
288,"['specialty bar', 'tropical fruit', 'yogurt', 'bottled beer', 'baking powder']"
289,"['other vegetables', 'frankfurter', 'newspapers', 'whole milk', 'pastry']"
290,"['beverages', 'yogurt']"
291,"['tropical fruit', 'whole milk']"
292,"['coffee', 'butter milk']"
293,"['beef', 'margarine', 'other vegetables']"
294,"['bottled water', 'hygiene articles']"
295,"['pork', 'sliced cheese']"
296,"['specialty chocolate', 'soda', 'bathroom cleaner']"
297,"['hamburger meat', 'whole milk']"
298,"['pip fruit', 'other vegetables']"
299,"['root vegetables', 'citrus fruit']"
300,"['other vegetables', 'shopping bags', 'soda']"
301,"['yogurt', 'newspapers']"
302,"['ice cream', 'whipped/sour cream']"
303,"['other vegetables', 'beef', 'soda', 'curd', 'butter']"
304,"['canned beer', 'herbs', 'margarine']"
305,"['rolls/buns', 'soda']"
306,"['rolls/buns', 'citrus fruit']"
307,"['coffee', 'berries']"
308,"['ham', 'white bread']"
309,"['herbs', 'pot plants', 'cake bar']"
310,"['soda', 'flower (seeds)', 'jam']"
311,"['sausage', 'pip fruit', 'chocolate']"
312,"['specialty chocolate', 'white bread']"
313,"['whole milk', 'whole milk']"
314,"['other vegetables', 'whole milk']"
315,"['sausage', 'beverages']"
316,"['whole milk', 'hard cheese']"
317,"['yogurt', 'berries']"
318,"['tropical fruit', 'meat', 'other vegetables', 'domestic eggs', 'baking powder']"
319,"['yogurt', 'sauces']"
320,"['beef', 'yogurt']"
321,"['ice cream', 'whole milk']"
322,"['sausage', 'whisky', 'specialty chocolate', 'dishes', 'yogurt', 'napkins', 'detergent', 'pastry']"
323,"['photo/film', 'shopping bags']"
324,"['frankfurter', 'other vegetables', 'bottled beer']"
325,"['yogurt', 'newspapers']"
326,"['root vegetables', 'soda', 'specialty bar', 'other vegetables', 'frozen vegetables']"
327,"['rolls/buns', 'grapes', 'bottled beer', 'sausage', 'salty snack', 'Instant food products', 'domestic eggs', 'bottled water']"
328,"['dessert', 'domestic eggs']"
329,"['sausage', 'tropical fruit', 'misc. beverages', 'root vegetables']"
330,"['sausage', 'whole milk']"
331,"['whole milk', 'brown bread']"
332,"['hamburger meat', 'detergent', 'flour']"
333,"['tropical fruit', 'soda']"
334,"['newspapers', 'salty snack']"
335,"['pasta', 'whole milk', 'waffles']"
336,"['chocolate marshmallow', 'other vegetables']"
337,"['pickled vegetables', 'flour']"
338,"['yogurt', 'shopping bags']"
339,"['packaged fruit/vegetables', 'bottled water', 'pork', 'domestic eggs']"
340,"['pip fruit', 'fruit/vegetable juice']"
341,"['tropical fruit', 'whole milk', 'soda', 'curd']"
342,"['shopping bags', 'root vegetables']"
343,"['whipped/sour cream', 'curd', 'shopping bags']"
344,"['sausage', 'whole milk', 'cake bar']"
345,"['frankfurter', 'whipped/sour cream', 'bottled water']"
346,"['hard cheese', 'whole milk']"
347,"['tropical fruit', 'citrus fruit', 'yogurt', 'frankfurter', 'specialty chocolate', 'hard cheese', 'whole milk', 'canned beer']"
348,"['canned beer', 'napkins', 'rolls/buns']"
349,"['grapes', 'other vegetables']"
350,"['rolls/buns', 'shopping bags', 'cat food']"
351,"['tropical fruit', 'candy']"
352,"['citrus fruit', 'dessert']"
353,"['root vegetables', 'frozen vegetables', 'bottled water', 'cat food']"
354,"['spread cheese', 'pork']"
355,"['pip fruit', 'brown bread']"
356,"['root vegetables', 'instant coffee']"
357,"['soda', 'hygiene articles', 'grapes', 'pudding powder', 'butter milk', 'butter']"
358,"['whole milk', 'yogurt']"
359,"['hamburger meat', 'pasta']"
360,"['whole milk', 'processed cheese']"
361,"['brown bread', 'sparkling wine']"
362,"['rolls/buns', 'other vegetables', 'whipped/sour cream']"
363,"['candy', 'white wine']"
364,"['root vegetables', 'frozen vegetables']"
365,"['other vegetables', 'white bread', 'detergent']"
366,"['yogurt', 'beverages', 'brown bread']"
367,"['ice cream', 'herbs']"
368,"['cream', 'yogurt']"
369,"['chicken', 'pastry', 'candles']"
370,"['waffles', 'hygiene articles', 'tea']"
371,"['yogurt', 'other vegetables', 'rolls/buns', 'herbs']"
372,"['yogurt', 'root vegetables']"
373,"['domestic eggs', 'yogurt']"
374,"['pork', 'whole milk']"
375,"['other vegetables', 'white bread']"
376,"['bottled water', 'yogurt', 'tropical fruit', 'whole milk']"
377,"['citrus fruit', 'misc. beverages']"
378,"['liver loaf', 'chicken', 'rolls/buns', 'spread cheese', 'shopping bags']"
379,"['citrus fruit', 'misc. beverages']"
380,"['whole milk', 'pastry']"
381,"['onions', 'newspapers']"
382,"['beef', 'specialty fat', 'newspapers']"
383,"['rolls/buns', 'semi-finished bread']"
384,"['shopping bags', 'rolls/buns']"
385,"['pastry', 'canned beer', 'whipped/sour cream', 'grapes']"
386,"['salty snack', 'pastry', 'oil']"
387,"['frozen potato products', 'specialty cheese']"
388,"['brown bread', 'whole milk', 'shopping bags']"
389,"['citrus fruit', 'frozen vegetables', 'margarine']"
390,"['curd', 'sugar']"
391,"['chocolate', 'whole milk']"
392,"['pip fruit', 'salty snack', 'pastry']"
393,"['pip fruit', 'margarine']"
394,"['ham', 'yogurt']"
395,"['soda', 'salty snack']"
396,"['bottled water', 'chocolate']"
397,"['pastry', 'baking powder', 'butter', 'margarine', 'curd', 'dishes']"
398,"['whole milk', 'soda']"
399,"['pickled vegetables', 'liquor']"
400,"['margarine', 'yogurt']"
401,"['whole milk', 'frozen vegetables', 'soda', 'UHT-milk']"
402,"['other vegetables', 'whipped/sour cream']"
403,"['beef', 'semi-finished bread']"
404,"['bottled water', 'flour', 'sugar']"
405,"['dish cleaner', 'ice cream', 'jam', 'newspapers']"
406,"['curd', 'canned beer']"
407,"['bottled beer', 'specialty bar', 'baking powder']"
408,"['whole milk', 'yogurt', 'newspapers']"
409,"['pork', 'pudding powder', 'domestic eggs']"
410,"['root vegetables', 'shopping bags']"
411,"['misc. beverages', 'UHT-milk', 'white bread']"
412,"['dog food', 'sausage', 'dessert', 'shopping bags']"
413,"['root vegetables', 'citrus fruit']"
414,"['chocolate', 'brown bread', 'salty snack']"
415,"['chicken', 'shopping bags']"
416,"['other vegetables', 'butter']"
417,"['whipped/sour cream', 'yogurt']"
418,"['other vegetables', 'yogurt']"
419,"['turkey', 'root vegetables']"
420,"['other vegetables', 'napkins']"
421,"['newspapers', 'white bread', 'rolls/buns', 'beverages']"
422,"['other vegetables', 'zwieback']"
423,"['brown bread', 'butter milk', 'canned vegetables', 'soda']"
424,"['chicken', 'bottled water']"
425,"['brown bread', 'soda']"
426,"['other vegetables', 'cream cheese ', 'liquor', 'root vegetables', 'newspapers', 'hard cheese']"
427,"['frankfurter', 'rolls/buns']"
428,"['meat', 'whole milk', 'whipped/sour cream']"
429,"['bottled beer', 'frozen vegetables', 'sliced cheese']"
430,"['pip fruit', 'processed cheese', 'canned beer']"
431,"['berries', 'condensed milk']"
432,"['house keeping products', 'rolls/buns', 'pickled vegetables', 'curd']"
433,"['whole milk', 'hair spray', 'butter', 'pastry']"
434,"['ham', 'yogurt']"
435,"['grapes', 'whole milk']"
436,"['meat', 'other vegetables']"
437,"['other vegetables', 'specialty bar']"
438,"['soda', 'UHT-milk', 'newspapers', 'white bread']"
439,"['citrus fruit', 'brown bread']"
440,"['tropical fruit', 'sugar']"
441,"['pastry', 'condensed milk', 'rice', 'tropical fruit', 'chocolate marshmallow']"
442,"['coffee', 'shopping bags']"
443,"['bottled water', 'citrus fruit']"
444,"['root vegetables', 'frozen vegetables']"
445,"['chicken', 'dishes']"
446,"['rolls/buns', 'oil', 'yogurt']"
447,"['pork', 'soda', 'canned vegetables']"
448,"['pip fruit', 'whole milk']"
449,"['frozen vegetables', 'rolls/buns', 'cling film/bags']"
450,"['bottled beer', 'hygiene articles']"
451,"['yogurt', 'soda']"
452,"['rolls/buns', 'margarine']"
453,"['condensed milk', 'shopping bags']"
454,"['popcorn', 'citrus fruit']"
455,"['sausage', 'pastry']"
456,"['root vegetables', 'margarine', 'rolls/buns']"
457,"['rolls/buns', 'whipped/sour cream']"
458,"['newspapers', 'pork', 'root vegetables', 'napkins']"
459,"['misc. beverages', 'whole milk', 'long life bakery product']"
460,"['citrus fruit', 'soda']"
461,"['soda', 'roll products ']"
462,"['frankfurter', 'rolls/buns', 'shopping bags', 'margarine']"
463,"['other vegetables', 'butter', 'pastry', 'UHT-milk']"
464,"['meat', 'coffee']"
465,"['frankfurter', 'white bread']"
466,"['liquor', 'domestic eggs']"
467,"['specialty bar', 'soda', 'frozen vegetables', 'frozen vegetables']"
468,"['grapes', 'frozen meals', 'flower (seeds)']"
469,"['tea', 'yogurt', 'shopping bags', 'brown bread']"
470,"['flower (seeds)', 'white wine']"
471,"['cream cheese ', 'specialty chocolate']"
472,"['whole milk', 'baking powder']"
473,"['margarine', 'soda']"
474,"['tropical fruit', 'cream cheese ', 'cream cheese ']"
475,"['yogurt', 'softener']"
476,"['bottled water', 'frankfurter', 'dessert', 'root vegetables']"
477,"['other vegetables', 'semi-finished bread', 'other vegetables', 'rolls/buns', 'shopping bags', 'salty snack']"
478,"['soda', 'whole milk']"
479,"['bottled beer', 'whole milk']"
480,"['yogurt', 'pastry']"
481,"['curd', 'domestic eggs']"
482,"['coffee', 'shopping bags', 'shopping bags']"
483,"['sausage', 'rolls/buns', 'rice']"
484,"['pork', 'whole milk', 'napkins']"
485,"['other vegetables', 'oil']"
486,"['pastry', 'brown bread', 'yogurt']"
487,"['cream cheese ', 'newspapers']"
488,"['sausage', 'shopping bags', 'soda', 'butter', 'dessert', 'soda']"
489,"['hard cheese', 'butter']"
490,"['whole milk', 'other vegetables']"
491,"['citrus fruit', 'flower (seeds)']"
492,"['tropical fruit', 'butter milk', 'brown bread']"
493,"['tropical fruit', 'whole milk']"
494,"['rolls/buns', 'fruit/vegetable juice']"
495,"['herbs', 'citrus fruit']"
496,"['root vegetables', 'butter milk']"
497,"['instant coffee', 'shopping bags']"
498,"['tropical fruit', 'other vegetables']"
499,"['other vegetables', 'beef']"
500,"['nut snack', 'canned beer']"
501,"['whole milk', 'other vegetables', 'other vegetables', 'sugar']"
502,"['whole milk', 'root vegetables']"
503,"['citrus fruit', 'napkins']"
504,"['rolls/buns', 'butter milk']"
505,"['rolls/buns', 'brown bread', 'canned beer']"
506,"['tropical fruit', 'soft cheese']"
507,"['tropical fruit', 'misc. beverages']"
508,"['pork', 'pickled vegetables']"
509,"['photo/film', 'frankfurter', 'other vegetables', 'curd', 'waffles']"
510,"['pip fruit', 'other vegetables', 'cling film/bags']"
511,"['rolls/buns', 'whole milk', 'soda']"
512,"['tropical fruit', 'yogurt']"
513,"['cat food', 'rolls/buns']"
514,"['berries', 'white bread']"
515,"['rolls/buns', 'soda']"
516,"['chicken', 'brown bread']"
517,"['other vegetables', 'napkins']"
518,"['newspapers', 'soups']"
519,"['UHT-milk', 'soda']"
520,"['pork', 'soda']"
521,"['oil', 'pickled vegetables']"
522,"['soda', 'whole milk', 'whole milk', 'sugar']"
523,"['misc. beverages', 'spread cheese']"
524,"['meat', 'whole milk']"
525,"['pork', 'domestic eggs']"
526,"['root vegetables', 'coffee']"
527,"['canned beer', 'fish']"
528,"['hard cheese', 'root vegetables', 'white bread']"
529,"['chicken', 'domestic eggs', 'white bread']"
530,"['soda', 'whipped/sour cream']"
531,"['brown bread', 'other vegetables']"
532,"['tropical fruit', 'root vegetables']"
533,"['bottled beer', 'soda']"
534,"['whole milk', 'bottled beer']"
535,"['bottled water', 'shopping bags', 'waffles']"
536,"['pork', 'margarine']"
537,"['frozen vegetables', 'pip fruit', 'root vegetables', 'cereals']"
538,"['yogurt', 'soda', 'yogurt']"
539,"['other vegetables', 'berries', 'candy', 'sliced cheese']"
540,"['curd', 'soft cheese']"
541,"['soda', 'whole milk']"
542,"['frozen meals', 'detergent']"
543,"['specialty chocolate', 'canned fish']"
544,"['soda', 'other vegetables']"
545,"['pork', 'tropical fruit']"
546,"['pork', 'yogurt']"
547,"['yogurt', 'sausage', 'whole milk', 'shopping bags', 'white bread', 'dog food', 'baking powder', 'sliced cheese']"
548,"['soda', 'other vegetables']"
549,"['root vegetables', 'soda', 'long life bakery product']"
550,"['soda', 'bottled beer', 'chicken', 'yogurt']"
551,"['seasonal products', 'frozen vegetables', 'yogurt']"
552,"['other vegetables', 'fruit/vegetable juice']"
553,"['long life bakery product', 'rolls/buns', 'UHT-milk', 'bottled water']"
554,"['canned beer', 'sugar']"
555,"['pip fruit', 'berries']"
556,"['curd', 'soft cheese']"
557,"['berries', 'pip fruit', 'pastry']"
558,"['whole milk', 'rolls/buns']"
559,"['pork', 'domestic eggs']"
560,"['soda', 'frozen meals']"
561,"['curd cheese', 'soda']"
562,"['whole milk', 'grapes']"
563,"['chewing gum', 'whole milk', 'bottled beer', 'ready soups']"
564,"['butter', 'ice cream']"
565,"['chicken', 'cake bar']"
566,"['frankfurter', 'soft cheese', 'mustard']"
567,"['tropical fruit', 'rolls/buns', 'canned beer', 'dish cleaner']"
568,"['root vegetables', 'other vegetables', 'frozen vegetables']"
569,"['female sanitary products', 'rolls/buns']"
570,"['citrus fruit', 'sausage', 'whole milk', 'canned beer']"
571,"['whole milk', 'sausage', 'pet care', 'yogurt']"
572,"['whole milk', 'house keeping products']"
573,"['frankfurter', 'brandy']"
574,"['berries', 'other vegetables']"
575,"['tropical fruit', 'UHT-milk', 'napkins', 'whole milk']"
576,"['beef', 'curd', 'frozen meals']"
577,"['rolls/buns', 'other vegetables', 'butter', 'root vegetables', 'rolls/buns']"
578,"['whole milk', 'bottled water']"
579,"['yogurt', 'citrus fruit']"
580,"['whole milk', 'cream cheese ']"
581,"['frozen vegetables', 'domestic eggs']"
582,"['citrus fruit', 'soda']"
583,"['citrus fruit', 'light bulbs']"
584,"['yogurt', 'whole milk']"
585,"['butter', 'chewing gum']"
586,"['whole milk', 'root vegetables']"
587,"['pip fruit', 'tropical fruit', 'mustard']"
588,"['domestic eggs', 'beef', 'coffee', 'bottled beer']"
589,"['shopping bags', 'frozen meals']"
590,"['other vegetables', 'yogurt', 'whole milk', 'spread cheese']"
591,"['beef', 'newspapers', 'bottled beer']"
592,"['misc. beverages', 'coffee']"
593,"['canned beer', 'citrus fruit']"
594,"['white bread', 'yogurt']"
595,"['red/blush wine', 'salty snack']"
596,"['canned beer', 'berries', 'male cosmetics', 'fruit/vegetable juice']"
597,"['sausage', 'bottled water']"
